id	start	end	dcy_st	last_exp	stdsc	maxsc	dropsc
SIGN10_bruto	112031	112266	112132	112132	18.1742861211	-25.0	-11.0
SIGN11_bruto	115138	115373	115239	115239	9.98367454772	-12.0	-1.0
SIGN12_bruto	130655	130890	130756	130756	14.1473057566	-17.0	-17.0
SIGN13_bruto	138308	138543	138409	138409	23.6912466768	-48.0	-48.0
SIGN14_bruto	149389	149624	149490	149490	24.0908851636	-40.0	-40.0
SIGN15_bruto	159906	160141	160007	160007	31.2058318394	-53.0	-33.0
SIGN16_bruto	166591	166826	166692	166692	30.0491705659	-22.0	-14.0
SIGN17_bruto	169750	169985	169851	169851	15.1531216706	-19.0	-1.0
SIGN18_bruto	189278	189513	189379	189379	700.482734664	-320.0	-26.0
SIGN19_bruto	191095	191330	191196	191196	21.8892821372	-21.0	-15.0
SIGN1_bruto	13926	14161	14027	14027	33.8170690249	-51.0	-19.0
SIGN20_bruto	194911	195146	195012	195012	15.6898050764	-40.0	-25.0
SIGN21_bruto	206734	206969	206835	206835	51.0407515404	-47.0	-21.0
SIGN22_bruto	229088	229323	229189	229189	77.0993182335	-101.0	-101.0
SIGN23_bruto	236749	236984	236850	236850	29.1403850856	-48.0	-9.0
SIGN24_bruto	238485	238720	238586	238586	27.1141357092	-53.0	-11.0
SIGN25_bruto	241138	241373	241239	241239	22.4991193501	-25.0	-24.0
SIGN26_bruto	258016	258251	258117	258117	31.637027045	-71.0	-44.0
SIGN27_bruto	269343	269578	269444	269444	36.2462631048	-49.0	-12.0
SIGN28_bruto	292974	293209	293075	293075	27.5792572391	-39.0	-30.0
SIGN29_bruto	314813	315048	314914	314914	78.0395449212	-65.0	-30.0
SIGN2_bruto	52718	52953	52819	52819	32.6141469326	-46.0	-1.0
SIGN30_bruto	324533	324768	324634	324634	20.1591355471	-36.0	-21.0
SIGN31_bruto	335567	335802	335668	335668	14.9961600156	-29.0	-29.0
SIGN32_bruto	336843	337078	336944	336944	132.96263331	-126.0	-48.0
SIGN33_bruto	337331	337566	337432	337432	23.0240238862	-52.0	-3.0
SIGN34_bruto	358889	359124	358985	358990	25955.3381698	-46910.0	-21.0
SIGN35_bruto	360432	360667	360533	360533	38.3487113779	-45.0	-14.0
SIGN36_bruto	373103	373338	373204	373204	2340.17037717	-5367.0	-18.0
SIGN37_bruto	379524	379759	379625	379625	31.0542088274	-40.0	-38.0
SIGN38_bruto	410727	410962	410828	410828	22.8133207398	-17.0	-15.0
SIGN39_bruto	413952	414187	414053	414053	32.6949612948	-62.0	-24.0
SIGN3_bruto	59819	60054	59920	59920	30.3578952456	-73.0	-28.0
SIGN40_bruto	439593	439828	439694	439694	26.7822605734	-53.0	-28.0
SIGN41_bruto	443801	444036	443902	443902	25.0107240992	-20.0	-7.0
SIGN42_bruto	444843	445078	444944	444944	36.7543849794	-58.0	-58.0
SIGN43_bruto	450231	450466	450332	450332	17.5332194124	-30.0	-28.0
SIGN44_bruto	460457	460692	460558	460558	21.6273208184	-49.0	-42.0
SIGN45_bruto	469058	469293	469159	469159	35.6907443524	-88.0	-25.0
SIGN46_bruto	484896	485131	484997	484997	25.6036311267	-25.0	-1.0
SIGN47_bruto	487370	487605	487471	487471	2742.56009447	-4931.0	-6.0
SIGN48_bruto	530465	530700	530566	530566	27.133084854	-48.0	-41.0
SIGN49_bruto	555228	555463	555329	555329	163.690735823	-441.0	-1.0
SIGN4_bruto	61982	62217	62082	62083	25.5709089623	-34.0	-34.0
SIGN50_bruto	555579	555814	555680	555680	14.1417821006	-19.0	-2.0
SIGN51_bruto	566641	566876	566742	566742	14.0737132613	-20.0	-4.0
SIGN52_bruto	572112	572347	572211	572213	1801.14572382	-885.0	-10.0
SIGN53_bruto	588170	588405	588271	588271	22.8493744414	-32.0	-17.0
SIGN54_bruto	638414	638649	638515	638515	17.6621064684	-55.0	-55.0
SIGN55_bruto	645312	645547	645413	645413	19.4067639753	-36.0	-27.0
SIGN56_bruto	645920	646155	646021	646021	45.4898703136	-35.0	-3.0
SIGN57_bruto	650834	651069	650935	650935	24.7943289714	-48.0	-16.0
SIGN58_bruto	678116	678351	678217	678217	13.0122592314	-40.0	-40.0
SIGN59_bruto	680292	680527	680393	680393	29.5778619355	-50.0	-6.0
SIGN5_bruto	68257	68492	68358	68358	7.31812445874	-18.0	-18.0
SIGN60_bruto	695737	695972	695838	695838	19.5222017493	-46.0	-18.0
SIGN61_bruto	706018	706253	706119	706119	22.7772702232	-64.0	-20.0
SIGN62_bruto	716836	717071	716937	716937	52.1657170288	-41.0	-9.0
SIGN63_bruto	765865	766100	765966	765966	33.652563788	-61.0	-1.0
SIGN64_bruto	770162	770397	770263	770263	168.286258726	-79.0	-43.0
SIGN65_bruto	798720	798955	798821	798821	28.9882425148	-50.0	-38.0
SIGN66_bruto	807554	807789	807655	807655	17.8582355457	-43.0	-23.0
SIGN6_bruto	88257	88492	88358	88358	95.0317815572	-108.0	-29.0
SIGN7_bruto	97768	98003	97868	97869	35.2195600492	-53.0	-17.0
SIGN8_bruto	108808	109043	108909	108909	13.9676969884	-31.0	-26.0
SIGN9_bruto	109455	109690	109556	109556	13.2142428499	-30.0	-27.0
