id	start	end	dcy_st	last_exp	stdsc	maxsc	dropsc
SIGN1	108708	109021	108869	108909	52.7826971506	-36.0	-26.0
SIGN10	358789	359102	358950	358990	25878.3231911	-46910.0	-21.0
SIGN11	410627	410940	410788	410828	20.4718382415	-58.0	-15.0
SIGN12	444743	445056	444904	444944	47.8474640637	-83.0	-58.0
SIGN13	487270	487583	487429	487471	2344.05527086	-4931.0	-6.0
SIGN14	572012	572325	572172	572213	55581.5439455	-15379.0	-10.0
SIGN15	637890	638203	638047	638091	80.6767865775	-84.0	-38.0
SIGN16	648951	649264	649112	649152	11455.4085128	-11280.0	-20.0
SIGN17	727932	728245	728093	728133	33.0670248581	-50.0	-43.0
SIGN18	765765	766078	765924	765966	39.3530897973	-61.0	-1.0
SIGN19	798620	798933	798781	798821	87.0383010511	-63.0	-38.0
SIGN2	166491	166804	166652	166692	43.3862623785	-22.0	-14.0
SIGN3	189178	189491	189339	189379	551.328736651	-320.0	-26.0
SIGN4	190995	191308	191156	191196	20.6665313294	-22.0	-15.0
SIGN5	236649	236962	236798	236850	24.7460225999	-48.0	-9.0
SIGN6	241038	241351	241199	241239	50.5176637978	-151.0	-24.0
SIGN7	252882	253195	253043	253083	66.2077832106	-54.0	-27.0
SIGN8	281252	281565	281413	281453	70.4911779105	-53.0	-20.0
SIGN9	288232	288545	288367	288433	191.536330075	-104.0	-8.0
